type,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,commission,net_pnl,equity,peak,drawdown
Long,27-05-2025 02:15,05-06-2025 14:15,108368.7,104275.1,0.059683739,-244.321353,2.538275402,-246.8596284,12688.83873,13393.23629,-0.052593529
Short,05-06-2025 14:15,05-06-2025 18:00,104275.1,103225.9,0.060843091,63.83657076,2.525000433,61.31157033,12750.1503,13393.23629,-0.048015728
Long,05-06-2025 18:00,09-06-2025 12:45,103225.9,107899.9,0.061758485,288.6591569,2.607761892,286.051395,13036.2017,13393.23629,-0.026657828
Short,09-06-2025 12:45,10-06-2025 15:45,107899.9,108754.7,0.060408776,-51.63742141,2.617567824,-54.25498923,12981.94671,13393.23629,-0.030708753
Long,10-06-2025 15:45,16-06-2025 20:15,108754.7,108642,0.059684532,-6.726446738,2.595044053,-9.321490791,12972.62522,13393.23629,-0.031404738
Short,16-06-2025 20:15,19-06-2025 15:45,108642,104199.9,0.059703546,265.2091203,2.54148322,262.667637,13235.29286,13393.23629,-0.011792776
Long,19-06-2025 15:45,20-06-2025 09:00,104199.9,105938.4,0.063509144,110.4106464,2.6691407,107.7415057,13343.03436,13393.23629,-0.003748304
Short,20-06-2025 09:00,21-06-2025 21:00,105938.4,102764.1,0.062975438,199.902934,2.628626286,197.2743078,13540.30867,13540.30867,0
Long,21-06-2025 21:00,23-06-2025 19:30,102764.1,102863.9,0.065880539,6.574877828,2.709376709,3.865501119,13544.17417,13544.17417,0
Short,23-06-2025 19:30,04-07-2025 15:00,102863.9,107803.8,0.065835411,-325.2203445,2.773878903,-327.9942234,13216.17995,13544.17417,-0.024216628
Long,04-07-2025 15:00,06-07-2025 15:45,107803.8,108750,0.061297375,57.99957639,2.654835905,55.34474048,13271.52469,13544.17417,-0.020130388
Short,06-07-2025 15:45,12-07-2025 16:30,108750,117321.5,0.061018504,-523.0201097,2.758908959,-525.7790187,12745.74567,13544.17417,-0.058949958
Long,12-07-2025 16:30,13-07-2025 15:00,117321.5,118841.6,0.054319735,82.57142975,2.56566342,80.00576633,12825.75144,13544.17417,-0.053042934
Short,13-07-2025 15:00,19-07-2025 15:45,118841.6,118292.2,0.05396154,29.64646992,2.559220993,27.08724892,12852.83868,13544.17417,-0.051043015
Long,19-07-2025 15:45,20-07-2025 15:00,118292.2,118512.3,0.054326653,11.9572964,2.572959196,9.384337204,12862.22302,13544.17417,-0.050350146
Short,20-07-2025 15:00,20-07-2025 23:15,118512.3,117436.7,0.054265351,58.36781111,2.560771042,55.80704007,12918.03006,13544.17417,-0.046229774
Long,20-07-2025 23:15,22-07-2025 08:15,117436.7,117761.7,0.05499997,17.8749904,2.58718101,15.28780939,12933.31787,13544.17417,-0.045101037
Short,22-07-2025 08:15,25-07-2025 02:15,117761.7,117268.4,0.054913091,27.08862774,2.581245849,24.50738189,12957.82525,13544.17417,-0.043291596
Long,25-07-2025 02:15,26-07-2025 12:00,117268.4,117784.9,0.05524858,28.53589178,2.597272229,25.93861955,12983.76387,13544.17417,-0.041376483
Short,26-07-2025 12:00,28-07-2025 15:45,117784.9,118266.4,0.055116419,-26.5385559,2.602060486,-29.14061638,12954.62326,13544.17417,-0.043528007
Long,28-07-2025 15:45,04-08-2025 15:00,118266.4,114697.7,0.054768824,-195.4535016,2.551833951,-198.0053356,12756.61792,13544.17417,-0.058147233
Short,04-08-2025 15:00,05-08-2025 16:30,114697.7,113167.7,0.055609737,85.08289799,2.534307004,82.54859099,12839.16651,13544.17417,-0.052052466
Long,05-08-2025 16:30,06-08-2025 15:45,113167.7,115159.1,0.056726285,112.9647249,2.590426247,110.3742986,12949.54081,13544.17417,-0.043903257
Short,06-08-2025 15:45,08-08-2025 16:30,115159.1,116079,0.056224566,-51.72097816,2.600252358,-54.32123051,12895.21958,13544.17417,-0.047913928
Long,08-08-2025 16:30,09-08-2025 11:15,116079,117221.1,0.055545015,63.43796157,2.591731508,60.84623006,12956.06581,13544.17417,-0.0434215
Short,09-08-2025 11:15,12-08-2025 12:00,117221.1,118514.1,0.055263369,-71.45553613,2.605504269,-74.0610404,12882.00477,13544.17417,-0.048889611
